cat_codes,view_count,likes_ratio,comments_ratio,norm_view_count,norm_likes_ratio,norm_comments_ratio,engagement_score
Autos & Vehicles,220830.0,5.59,0.42,0.0,0.68,0.79,5.88
Comedy,523073.0,7.26,0.28,0.78,1.0,0.24,6.52
Education,313675.0,6.18,0.34,0.24,0.79,0.5,5.64
Entertainment,561727.5,4.49,0.22,0.88,0.47,0.01,3.68
Film & Animation,304744.0,2.59,0.22,0.22,0.1,0.02,0.92
Gaming,391574.5,6.64,0.27,0.44,0.88,0.23,5.32
Howto & Style,316143.0,5.12,0.25,0.25,0.59,0.12,3.34
Music,606008.0,4.74,0.26,1.0,0.52,0.16,4.72
News & Politics,268823.0,2.04,0.37,0.12,0.0,0.61,2.68
Nonprofits & Activism,246195.0,4.27,0.47,0.07,0.43,1.0,5.86
People & Blogs,358834.0,6.08,0.32,0.36,0.77,0.4,5.4
Pets & Animals,328334.0,4.47,0.26,0.28,0.46,0.16,3.04
Science & Technology,347832.0,7.07,0.46,0.33,0.96,0.94,8.26
Sports,352247.5,2.11,0.21,0.34,0.01,0.0,0.72
Travel & Events,339102.5,5.74,0.42,0.31,0.71,0.78,6.58
